country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Mongolia,nonpoor,0.8,13188.022858336355,0.4111103,1.061298685405982,64964.98037159216,0.03515157330944344,0.12597759214313933,0.4799999999999999
Mongolia,poor,0.2,4637.041979780581,0.21726670000000006,0.7548052583760722,16481.31737787945,0.03857959712643275,0.4342145961505898,0.4799999999999999
Montenegro,nonpoor,0.8,17454.740934494796,0.07029511999999999,1.1465463523655335,47786.70412556837,0.010942542507226644,0.4409824761499999,0.0
Montenegro,poor,0.2,6452.5719163568265,0.02831399,0.4138145905378662,17875.472587578333,0.012675668867794304,0.6999999999999998,0.0
Morocco,nonpoor,0.8,8603.888209582354,0.1725484,1.0884125554991735,32294.233015989168,0.01634989920894374,0.21065281249999998,0.6400000000000002
Morocco,poor,0.2,2408.278574391979,0.051415930000000006,0.6463497780033056,7583.99112803247,0.018646431542939615,0.6999999999999998,0.6400000000000002
Namibia,nonpoor,0.8,11823.314161684222,0.3485483,1.1608065327214192,43237.99564607655,0.014068262254258258,0.6416008539893611,0.6400000000000002
Namibia,poor,0.2,1598.769246715906,0.14453729999999998,0.35677386911432285,4725.632583388982,0.020097015450273436,0.6999999999999997,0.6400000000000002
Nepal,nonpoor,0.8,2650.003919053337,0.2236811,1.1783605712316212,9697.631742891761,0.031570007986213344,0.39876587499999994,0.3200000000000001
Nepal,poor,0.2,961.9560474050509,0.08169342,0.28655771507351496,4000.004728584635,0.03686422572332994,0.6999999999999998,0.3200000000000001
Netherlands,nonpoor,0.8,52802.83155218211,0.6671163,1.1076029722207699,212096.74692572432,0.015732038816199372,0.25975719999999997,0.8
Netherlands,poor,0.2,20557.933320217504,0.485505,0.5695881111169199,69438.75295863519,0.017081867070831813,0.2999999999999999,0.8
Niger,nonpoor,0.8,1033.6872348289937,0.02122553,1.1558887235101756,4424.161820134323,0.037981321814179035,0.10399854999999997,0.4799999999999999
Niger,poor,0.2,352.2276633058101,0.017845970000000003,0.3764451059592977,1511.9322781825492,0.021110347432026614,0.6999999999999998,0.4799999999999999
Nigeria,nonpoor,0.8,6670.098908253491,0.3224891,1.237513961041154,7630.853299683553,0.007153663354769252,0.6734349004145419,0.6400000000000002
Nigeria,poor,0.2,1514.0412612203843,0.1970295,0.04994415583538376,1748.7956542262052,0.0068992728002552775,0.6999999999999997,0.6400000000000002
Norway,nonpoor,0.8,72162.62666162376,0.8089856999999999,1.0877386609728694,218813.02061062574,0.0,0.12597759214313936,0.6000000000000002
Norway,poor,0.2,29597.019975880965,0.7495815,0.6490453561085219,72049.38561862419,0.0,0.43421459615058977,0.6000000000000002
Pakistan,nonpoor,0.8,5341.51967150251,0.04381021,1.1873877771085157,14080.682600406451,0.016005212099909353,0.5208940499999999,0.4799999999999999
Pakistan,poor,0.2,2164.844976996612,0.01694613,0.2504488915659363,6140.34212525357,0.017052163237596604,0.6999999999999998,0.4799999999999999
Panama,nonpoor,0.8,25226.87938615667,0.2403679,1.1799998307528616,46838.24647781063,0.0074191733850754475,0.6764212741773349,0.4799999999999999
Panama,poor,0.2,3519.179697044312,0.1483164,0.2800006769885534,5942.905243744541,0.009684147519678549,0.6999999999999997,0.4799999999999999
