scenario,r,eta,insu,v,proba,Keq,Kopt,K1,Weq,Wopt,W1,Weq_rel,Wopt_rel,W1_rel
112,0.04,0.5,0,0.5,0.045,64.69430585,62.99055147,64.69430585,30.89153104,30.71942475,31.42269906,0.873137471,0.885776893,1.00562425
113,0.04,0.5,0,0.5,0.05,64.69430585,62.60208702,64.69430585,30.72979528,30.52294171,31.24695835,0.868566071,0.880111418,1
114,0.04,0.5,0,0.5,0.06,64.69430585,61.72613549,64.69430585,30.40632375,30.12532352,30.89547693,0.85942327,0.868646327,0.9887515
115,0.04,0.5,0,0.5,0.07,64.69430585,60.73480558,64.69430585,30.08285222,29.72413819,30.54399551,0.850280469,0.857078379,0.977502999
116,0.04,0.5,0,0.5,0.08,64.69430585,59.64898302,64.69430585,29.75938069,29.32231344,30.19251409,0.841137668,0.845491994,0.966254499
117,0.04,0.5,0,0.5,0.09,64.69430585,58.48933412,64.69430585,29.43590916,28.92242049,29.84103267,0.831994868,0.833961312,0.955005999
118,0.04,0.5,0,0.5,0.1,64.69430585,57.27526104,64.69430585,29.11243763,28.52662558,29.48955125,0.822852067,0.822548794,0.943757499
119,0.04,0.5,0,0.5,0.11,64.69430585,56.02422816,64.69430585,28.7889661,28.13668351,29.13806983,0.813709266,0.811305039,0.932508998
120,0.04,0.5,0,0.5,0.12,64.69430585,54.75144529,64.69430585,28.46549457,27.75396294,28.78658841,0.804566465,0.800269512,0.921260498
121,0.04,0.5,0.25,0.125,0,477.1544113,477.1544113,323.5531664,44.53441218,44.53441218,33.00436545,1.258748359,1.284124087,1.056242501
122,0.04,0.5,0.25,0.125,0.001,474.8738064,465.5272293,323.5531664,44.47489993,44.47219899,32.99557841,1.257066268,1.282330205,1.055961289
123,0.04,0.5,0.25,0.125,0.002,472.9262161,459.1501465,323.5531664,44.41565343,44.40990509,32.98679138,1.255391688,1.280533997,1.055680076
124,0.04,0.5,0.25,0.125,0.003,470.8359299,453.8211823,323.5531664,44.35666846,44.34779723,32.97800434,1.2537245,1.278743152,1.055398864
125,0.04,0.5,0.25,0.125,0.004,468.761322,449.0909085,323.5531664,44.2979438,44.28595712,32.96921731,1.25206467,1.276960029,1.055117651
126,0.04,0.5,0.25,0.125,0.005,466.7021751,444.7696233,323.5531664,44.23947749,44.2244189,32.96043027,1.250412142,1.27518561,1.054836439
127,0.04,0.5,0.25,0.125,0.006,464.6583843,440.7542725,323.5531664,44.18126761,44.16319877,32.95164324,1.248766861,1.273420362,1.054555226
128,0.04,0.5,0.25,0.125,0.007,462.6297531,436.9809265,323.5531664,44.12331226,44.10230462,32.9428562,1.247128775,1.271664515,1.054274014
129,0.04,0.5,0.25,0.125,0.008,460.6161194,433.4062958,323.5531664,44.06560955,44.04173966,32.93406917,1.24549783,1.269918159,1.053992801
130,0.04,0.5,0.25,0.125,0.009,458.6173553,429.9994345,323.5531664,44.00815761,43.98150463,32.92528213,1.243873973,1.268181317,1.053711589
131,0.04,0.5,0.25,0.125,0.01,456.6333027,426.7371197,323.5531664,43.9509546,43.92159856,32.91649509,1.242257151,1.26645396,1.053430376
132,0.04,0.5,0.25,0.125,0.011,454.6637735,423.6013937,323.5531664,43.89399868,43.86201953,32.90770806,1.240647313,1.264736033,1.053149164
133,0.04,0.5,0.25,0.125,0.012,452.7086468,420.5780029,323.5531664,43.83728805,43.80276498,32.89892102,1.239044409,1.263027462,1.052867951
134,0.04,0.5,0.25,0.125,0.013,450.7677917,417.6553345,323.5531664,43.78082093,43.74383188,32.89013399,1.237448387,1.26132816,1.052586739
135,0.04,0.5,0.25,0.125,0.014,448.8410034,414.8238219,323.5531664,43.72459552,43.68521699,32.88134695,1.235859197,1.259638033,1.052305526
136,0.04,0.5,0.25,0.125,0.015,446.9282227,412.075439,323.5531664,43.66861009,43.62691691,32.87255992,1.23427679,1.257956984,1.052024314
137,0.04,0.5,0.25,0.125,0.02,437.568634,399.3712692,323.5531664,43.39222237,43.34001471,32.82862474,1.226464795,1.249684325,1.050618251
138,0.04,0.5,0.25,0.125,0.025,428.5374451,388.0219727,323.5531664,43.12158089,43.06045449,32.78468956,1.218815216,1.241623367,1.049212189
139,0.04,0.5,0.25,0.125,0.03,419.818635,377.6962624,323.5531664,42.85648549,42.78782095,32.74075438,1.211322394,1.233762136,1.047806126
140,0.04,0.5,0.25,0.125,0.035,411.3971443,368.1860199,323.5531664,42.59674567,42.52173595,32.69681921,1.203980946,1.226089729,1.046400064
141,0.04,0.5,0.25,0.125,0.04,403.2588511,359.3490143,323.5531664,42.34218006,42.26185754,32.65288403,1.196785746,1.218596285,1.044994001
142,0.04,0.5,0.25,0.125,0.045,395.390522,351.0822163,323.5531664,42.09261586,42.00787598,32.60894885,1.189731908,1.211272873,1.043587939
143,0.04,0.5,0.25,0.125,0.05,387.7796479,343.3077869,323.5531664,41.84788828,41.75950968,32.56501367,1.182814775,1.204111374,1.042181876
144,0.04,0.5,0.25,0.125,0.06,373.2841034,329.0048218,323.5531664,41.37232122,41.27861418,32.47714332,1.169373051,1.19024503,1.039369751
145,0.04,0.5,0.25,0.125,0.07,359.6861916,316.080349,323.5531664,40.91430414,40.81734976,32.38927296,1.156427371,1.176944736,1.036557626
